"","word","freq"
"1","war",2914
"2","ukraine",2819
"3","russia",1223
"4","putin",524
"5","nato",339
"6","russian",325
"7","dont",200
"8","biden",194
"9","against",180
"10","going",167
"11","die",161
"12","troops",145
"13","country",143
"14","invasion",136
"15","start",133
"16","stop",128
"17","president",123
"18","der",122
"19","usa",120
"20","military",115
"21","europe",114
"22","invade",113
"23","doesnt",102
"24","nuclear",102
"25","between",101
"26","being",99
"27","im",96
"28","peace",92
"29","ukrainewar",91
"30","fight",90
"31","news",89
"32","west",84
"33","really",83
"34","china",81
"35","years",79
"36","wants",78
"37","countries",77
"38","putins",77
"39","russians",76
"40","ukrainian",76
"41","support",75
"42","says",72
"43","border",71
"44","cant",70
"45","crisis",69
"46","germany",69
"47","situation",67
"48","russiaukraine",66
"49","und",66
"50","hope",65
"51","states",65
"52","am",64
"53","since",64
"54","via",64
"55","media",63
"56","thats",63
"57","attack",62
"58","sanctions",62
"59","today",61
"60","let",59
"61","trump",59
"62","already",58
"63","care",58
"64","government",58
"65","united",58
"66","ukraines",57
"67","eastern",56
"68","both",55
"69","own",55
"70","threat",55
"71","cold",54
"72","das",54
"73","trying",54
"74","blood",53
"75","please",53
"76","uk",53
"77","better",52
"78","conflict",52
"79","keep",52
"80","russias",52
"81","stand",52
"82","americans",51
"83","last",51
"84","while",51
"85","willing",51
"86","eu",50
"87","never",50
"88","ukrainerussia",50
"89","crimea",49
"90","nothing",49
"91","without",49
"92","wont",49
"93","american",48
"94","hes",48
"95","weapons",48
"96","civil",47
"97","got",47
"98","needs",46
"99","afghanistan",45
"100","invading",45
"101","might",45
"102","money",45
"103","state",45
"104","european",44
"105","nicht",44
"106","real",44
"107","crimes",43
"108","forces",43
"109","ready",43
"110","believe",42
"111","hands",42
"112","lets",42
"113","sure",42
"114","isnt",41
"115","power",41
"116","vladimir",41
"117","avoid",40
"118","diplomacy",40
"119","send",40
"120","those",40
"121","doing",39
"122","happen",39
"123","hell",39
"124","lives",39
"125","invaded",38
"126","joe",38
"127","next",38
"128","wars",38
"129","congressman",37
"130","covid",37
"131","during",37
"132","reason",37
"133","seems",37
"134","senator",37
"135","full",36
"136","johnson",36
"137","possible",36
"138","something",36
"139","taking",36
"140","under",36
"141","western",36
"142","best",35
"143","boris",35
"144","happening",35
"145","history",35
"146","lost",35
"147","nations",35
"148","saying",35
"149","theres",35
"150","global",34
"151","involved",34
"152","join",34
"153","started",34
"154","taiwan",34
"155","w",34
"156","citizens",33
"157","enough",33
"158","everyone",33
"159","israel",33
"160","life",33
"161","ww",33
"162","act",32
"163","aggression",32
"164","always",32
"165","days",32
"166","defend",32
"167","every",32
"168","leaders",32
"169","ukrainians",32
"170","whole",32
"171","didnt",31
"172","done",31
"173","gas",31
"174","talk",31
"175","win",31
"176","yet",31
"177","actually",30
"178","army",30
"179","den",30
"180","east",30
"181","few",30
"182","ist",30
"183","kyiv",30
"184","nation",30
"185","security",30
"186","side",30
"187","understand",30
"188","yes",30
"189","zu",30
"190","far",29
"191","human",29
"192","invades",29
"193","lot",29
"194","protect",29
"195","starting",29
"196","talks",29
"197","things",29
"198","ukrainecrisis",29
"199","youre",29
"200","anyone",28
"201","getting",28
"202","likely",28
"203","lose",28
"204","maybe",28
"205","propaganda",28
"206","risk",28
"207","von",28
"208","agree",27
"209","allies",27
"210","auf",27
"211","ein",27
"212","fighting",27
"213","hard",27
"214","international",27
"215","iraq",27
"216","knows",27
"217","leave",27
"218","moscow",27
"219","political",27
"220","problem",27
"221","rather",27
"222","sending",27
"223","soldiers",27
"224","thought",27
"225","arms",26
"226","bad",26
"227","criminal",26
"228","economy",26
"229","es",26
"230","goes",26
"231","innocent",26
"232","making",26
"233","matter",26
"234","potential",26
"235","pray",26
"236","seen",26
"237","stay",26
"238","ukfrance",26
"239","using",26
"240","watch",26
"241","whats",26
"242","zelensky",26
"243","anything",25
"244","bbc",25
"245","borders",25
"246","coming",25
"247","else",25
"248","ever",25
"249","everything",25
"250","god",25
"251","happens",25
"252","kiev",25
"253","poland",25
"254","talking",25
"255","union",25
"256","used",25
"257","vs",25
"258","week",25
"259","belarus",24
"260","due",24
"261","giving",24
"262","important",24
"263","macron",24
"264","mit",24
"265","pm",24
"266","soviet",24
"267","theyre",24
"268","un",24
"269","ago",23
"270","attacks",23
"271","bidens",23
"272","brink",23
"273","called",23
"274","civilians",23
"275","deal",23
"276","defense",23
"277","donbass",23
"278","fear",23
"279","foreign",23
"280","love",23
"281","pushing",23
"282","save",23
"283","tensions",23
"284","ukraineinvasion",23
"285","worried",23
"286","breaking",22
"287","cannot",22
"288","democracy",22
"289","front",22
"290","guess",22
"291","makes",22
"292","remember",22
"293","standwithukraine",22
"294","starts",22
"295","though",22
"296","zone",22
"297","almost",21
"298","b",21
"299","biggest",21
"300","bring",21
"301","cause",21
"302","de",21
"303","eine",21
